ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000732,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1COCCN1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCOCC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000733,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)c1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCCCC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000734,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""Na2CO3"", ""10294-26-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""CC(C)(C)c1ccccc1NC(=O)c1ccccc1Br"", ""CC(=O)c1cccc(-c2ccc(I)c3ccccc23)c1""]","[""CC(=O)c1cccc(-c2cc3c4ccccc4c(=O)n(-c4ccccc4C(C)(C)C)c3c3ccccc23)c1""]","Nature Communications (2024), 15(1), 4908",Pd/none/Na2CO3+10294-26-5/Tol+H2O,AFF02F1C,585C38D0,51364-51-3 + 2641594-79-6 + 498-66-8 + 10294-26-5 + 108-88-3 + 7732-18-5
RXN000735,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(F)(F)F)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCCCC4)cc3c(=O)n2-c2cccc(C(F)(F)F)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000736,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,81.0,"[""c1ccc2c(c1)CCNC2"", ""CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccc2ncc(Br)cc2c1""]","[""CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccc2ncc(N3CCc4ccccc4C3)cc2c1""]","European Journal of Medicinal Chemistry (2024), 268116240",Pd/none/NaOtBu/Tol,F22A19A8,F22A19A8,51364-51-3 + 213697-53-1 + 865-48-5 + 108-88-3
RXN000737,Buchwald,"[""Pd""]","[""Pd""]","[""none""]","[""K2CO3""]","[""BASE""]","[""DMF"", ""1330-20-7""]",,,81.0,"[""CNC1CCCCC1"", ""O=C(O)C(=O)O"", ""Cc1ccc(N=C=Nc2ccccc2I)cc1""]","[""Cc1ccc(-n2c(N(C)C3CCCCC3)nc3ccccc3c2=O)cc1""]","Chemistry - An Asian Journal (2023), 18(6), e202201288",Pd/none/K2CO3/DMF+1330-20-7,9F372750,9F372750,7440-05-3 + 584-08-7 + 68-12-2 + 1330-20-7
RXN000738,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""CN1CCNCC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCN(C)CC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000739,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""CC(C)(C)c1cccc(-n2c(C=Cc3ccc4ccccc4c3)nc3ccc(Cl)cc3c2=O)c1""]","[""CC(C)(C)c1cccc(-n2c(C=Cc3ccc4ccccc4c3)nc3ccc(N4CCCCC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000740,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""Cs2CO3""]","[""BASE""]","[""DCM""]",,,81.0,"[""Brc1ccccn1"", ""C[C@@H](NC(=O)C1CNc2ccccc2O1)c1cccc2ccccc12""]","[""C[C@@H](NC(=O)C1CN(c2ccccn2)c2ccccc2O1)c1cccc2ccccc12""]","Journal of Medicinal Chemistry (2023), 66(14), 9418-9444",Pd/none/Cs2CO3/DCM,DD2081C5,DD2081C5,51364-51-3 + 53199-31-8 + 534-17-8 + 75-09-2
RXN000741,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CC(N2CCOCC2)CCN1"", ""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(Cl)cc3c2=O)c1""]","[""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(N4CCC(N5CCOCC5)CC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
